idx,file,name,arms/core,num_arms,average_arms_width,max_arm_length,avg_arm_length,sum_arm_length,core_area,body_area,arms_area,core/arms,core_bounding_box,core_center,tile_row,tile_col,x,y,core_w,core_h,total_bodies_count
65,,2_3_65,2.5492957746478875,3,4.029126786466033,38.79898953437805,30.337397535641987,91.01219260692596,142.0,504.0,362.0,0.39226519337016574,"[2545, 3379, 19, 14]","[2552, 3385]",2,3,3328,13312,19,14,1
66,,2_3_66,1.701067615658363,3,2.974111418957545,43.627416491508484,18.56616135438283,55.6984840631485,140.5,379.5,239.0,0.5878661087866108,"[3223, 3516, 19, 14]","[3230, 3521]",2,3,3328,13312,19,14,1
69,,2_3_69,7.760299625468165,6,3.149986851557915,135.88224911689758,72.80999185641606,436.8599511384964,133.5,1169.5,1036.0,0.12886100386100385,"[3166, 2805, 17, 15]","[3173, 2812]",2,3,3328,13312,17,15,1
73,,2_3_73,8.834710743801653,5,3.4626130204307586,268.3502856492996,99.6891476392746,498.445738196373,121.0,1190.0,1069.0,0.11318989710009354,"[4041, 3826, 28, 9]","[4056, 3830]",2,3,3328,13312,28,9,1
76,,2_3_76,5.378995433789954,6,2.6128990204491958,183.8233734369278,47.20339026053747,283.2203415632248,109.5,698.5,589.0,0.18590831918505943,"[3976, 2712, 26, 10]","[3986, 2716]",2,3,3328,13312,26,10,1
78,,2_3_78,16.073059360730593,4,5.425426628848046,324.80612874031067,142.39570498466492,569.5828199386597,109.5,1869.5,1760.0,0.06221590909090909,"[2765, 853, 15, 14]","[2770, 859]",2,3,3328,13312,15,14,1
80,,2_3_80,3.0319634703196345,5,3.63290482208494,53.94112467765808,24.542135334014894,122.71067667007446,109.5,441.5,332.0,0.32981927710843373,"[3481, 515, 13, 13]","[3487, 521]",2,3,3328,13312,13,13,1
81,,2_3_81,4.3744292237442925,5,3.6171044672413517,75.5979791879654,40.29015817642212,201.4507908821106,109.5,588.5,479.0,0.22860125260960334,"[2956, 448, 13, 13]","[2962, 454]",2,3,3328,13312,13,13,1
82,,2_3_82,4.127853881278539,5,3.294154940453322,116.71067643165588,36.43330402374268,182.16652011871338,109.5,561.5,452.0,0.24225663716814158,"[3654, 379, 17, 12]","[3661, 383]",2,3,3328,13312,17,12,1
84,,2_3_84,7.224299065420561,6,4.649005597066879,192.30865502357483,47.231985886891685,283.3919153213501,107.0,880.0,773.0,0.1384217335058215,"[2514, 1595, 15, 24]","[2521, 1604]",2,3,3328,13312,15,24,1
